Award ID,Description,Contract Award Type,naics,naics_description,Recipient Name,Awarding Agency,awarding_agency_id,Start Date,End Date,Award Amount,base_and_all_options,generated_internal_id,generated_unique_award_id,internal_id,number_of_offers_received,Last Modified Date,base_and_all_options,Period of Performance Current End Date,Prime Recipient Name,Sub-Awardee Name,Sub-Award Amount,Funding Agency,Contract Duration,Contract Duration (Years),Days Until Contract Ends,Contract Status,Months Until Contract Ends,SortMonthBins,NAICSCodeDesc,AwardAmount_Binned,SortAmountBins,PastAwards_URL
W91YTZ13C0015,HQ&NETWORK SITES - TRANSITION IN&OPTION 1,DEFINITIVE CONTRACT,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",Department of Defense,1173.0,2013-02-05,2019-03-25,142508512.8,181927944.54,CONT_AWD_W91YTZ13C0015_9700_-NONE-_-NONE-,CONT_AWD_W91YTZ13C0015_9700_-NONE-_-NONE-,38629931,8,2022-06-08,181927944.54,,,,,Department of Defense,2239.0,6,Contract Expired,Expired,Contract/s Expired,,"541990: ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",12+ million,4,https://www.usaspending.gov/award/CONT_AWD_W91YTZ13C0015_9700_-NONE-_-NONE-
W91WAW10C0004,LABOR,DEFINITIVE CONTRACT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,BOOZ ALLEN HAMILTON INC,Department of Defense,1173.0,2009-10-30,2015-07-02,22437297.83,22437894.83,CONT_AWD_W91WAW10C0004_9700_-NONE-_-NONE-,CONT_AWD_W91WAW10C0004_9700_-NONE-_-NONE-,38604081,1,2020-03-13,22437894.83,,,,,Department of Defense,2071.0,6,Contract Expired,Expired,Contract/s Expired,,541611: ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,12+ million,4,https://www.usaspending.gov/award/CONT_AWD_W91WAW10C0004_9700_-NONE-_-NONE-
W91RUS23P0021,"PROCUREMENT OF SERVICES TO DEVELOP, INSTALL, MAINTAIN, AND SUSTAIN REQUIRED EMS ANALYSIS DEVICES IN ORDER TO CAPTURE THREAT FREQUENCIES IN SUPPORT OF VANGUARD 23 EXERCISE.",PURCHASE ORDER,334220,RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,"CACI, INC. - FEDERAL",Department of Defense,1173.0,2023-03-30,2023-04-15,161722.9,161722.9,CONT_AWD_W91RUS23P0021_9700_-NONE-_-NONE-,CONT_AWD_W91RUS23P0021_9700_-NONE-_-NONE-,160471172,1,2023-05-31,161722.9,,,,,Department of Defense,16.0,0,Contract Expired,Expired,Contract/s Expired,,334220: RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,0-1 million,1,https://www.usaspending.gov/award/CONT_AWD_W91RUS23P0021_9700_-NONE-_-NONE-
W91RUS23P0020,"PROCUREMENT TO DEVELOP, INSTALL, MAINTAIN, AND SUSTAIN REQUIRED EMS ANALYSIS DEVICES IN ORDER TO CAPTURE THREAT FREQUENCIES IN SUPPORT OF VANGUARD 23 EXERCISE.",PURCHASE ORDER,334220,RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,"CACI, INC. - FEDERAL",Department of Defense,1173.0,2023-03-30,2023-04-15,97540.0,97540.0,CONT_AWD_W91RUS23P0020_9700_-NONE-_-NONE-,CONT_AWD_W91RUS23P0020_9700_-NONE-_-NONE-,160471171,1,2023-05-31,97540.0,,,,,Department of Defense,16.0,0,Contract Expired,Expired,Contract/s Expired,,334220: RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,0-1 million,1,https://www.usaspending.gov/award/CONT_AWD_W91RUS23P0020_9700_-NONE-_-NONE-
W91RUS21C0026,"ON-SITE QUALITY CONTROL CONSTRUCTION SURVEILLANCE, INSTALLATION INSPECTIONS, AND SYSTEMS TEST MONITORING FOR IT PROJECTS AT SOTO CANO, HONDURAS",DEFINITIVE CONTRACT,541512,COMPUTER SYSTEMS DESIGN SERVICES,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",Department of Defense,1173.0,2021-09-27,2022-07-26,287378.91,287378.91,CONT_AWD_W91RUS21C0026_9700_-NONE-_-NONE-,CONT_AWD_W91RUS21C0026_9700_-NONE-_-NONE-,144744276,1,2022-04-02,287378.91,,,,,Department of Defense,302.0,1,Contract Expired,Expired,Contract/s Expired,,541512: COMPUTER SYSTEMS DESIGN SERVICES,0-1 million,1,https://www.usaspending.gov/award/CONT_AWD_W91RUS21C0026_9700_-NONE-_-NONE-
W91RUS20F0217,BASE PERIOD BASE LABOR,DELIVERY ORDER,541519,OTHER COMPUTER RELATED SERVICES,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",Department of Defense,1173.0,2020-08-08,2023-12-07,50648928.69,51203902.77,CONT_AWD_W91RUS20F0217_9700_W52P1J18DA086_9700,CONT_AWD_W91RUS20F0217_9700_W52P1J18DA086_9700,111315049,11,2023-07-13,51203902.77,,,,,Department of Defense,1216.0,3,54,Active,0-3 months,1.0,541519: OTHER COMPUTER RELATED SERVICES,12+ million,4,https://www.usaspending.gov/award/CONT_AWD_W91RUS20F0217_9700_W52P1J18DA086_9700
W91RUS19F0213,ARMY MANAGEMENT OF THE ENTERPRISE NETWORK (AMEN) OPERATIONAL SUPPORT SERVICES,DELIVERY ORDER,541519,OTHER COMPUTER RELATED SERVICES,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",Department of Defense,1173.0,2019-06-24,2024-01-16,18064304.81,18253580.49,CONT_AWD_W91RUS19F0213_9700_W52P1J18DA086_9700,CONT_AWD_W91RUS19F0213_9700_W52P1J18DA086_9700,87378453,9,2023-01-12,18253580.49,,,,,Department of Defense,1667.0,5,94,Active,3-6 months,2.0,541519: OTHER COMPUTER RELATED SERVICES,12+ million,4,https://www.usaspending.gov/award/CONT_AWD_W91RUS19F0213_9700_W52P1J18DA086_9700
W91RUS19F0174,ARMY DEPARTMENT OF DEFENSE INFORMATION NETWORK (DODIN)CYBERSECURITY AND NETWORK OPERATIONS MISSION SUPPORT (ADCNOMS)SERVICES,DELIVERY ORDER,541512,COMPUTER SYSTEMS DESIGN SERVICES,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",Department of Defense,1173.0,2019-07-01,2024-05-31,131642748.2,153936273.57,CONT_AWD_W91RUS19F0174_9700_47QTCK18D0003_4732,CONT_AWD_W91RUS19F0174_9700_47QTCK18D0003_4732,83749322,6,2023-06-16,153936273.57,,,,,Department of Defense,1796.0,5,230,Active,6-12 months,3.0,541512: COMPUTER SYSTEMS DESIGN SERVICES,12+ million,4,https://www.usaspending.gov/award/CONT_AWD_W91RUS19F0174_9700_47QTCK18D0003_4732
W91RUS19F0040,GLOBAL ENTERPRISE FABRIC SHAREPOINT SUPPORT SERVICES (GEFS3),DELIVERY ORDER,517110,WIRED TELECOMMUNICATIONS CARRIERS,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",Department of Defense,1173.0,2019-02-08,2020-12-07,19373602.67,21312926.1,CONT_AWD_W91RUS19F0040_9700_W91QUZ06D0012_9700,CONT_AWD_W91RUS19F0040_9700_W91QUZ06D0012_9700,84201131,2,2020-09-11,21312926.1,,,,,Department of Defense,668.0,2,Contract Expired,Expired,Contract/s Expired,,517110: WIRED TELECOMMUNICATIONS CARRIERS,12+ million,4,https://www.usaspending.gov/award/CONT_AWD_W91RUS19F0040_9700_W91QUZ06D0012_9700
W91RUS18F0027,OPERATION AND MAINTENANCE OF TELECOMMUNICATION SERVICES,DELIVERY ORDER,541512,COMPUTER SYSTEMS DESIGN SERVICES,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",Department of Defense,1173.0,2018-05-12,2023-08-11,10851237.2,11637615.75,CONT_AWD_W91RUS18F0027_9700_HHSN316201200013W_7529,CONT_AWD_W91RUS18F0027_9700_HHSN316201200013W_7529,67706404,2,2023-06-13,11637615.75,,,,,Department of Defense,1917.0,5,Contract Expired,Expired,Contract/s Expired,,541512: COMPUTER SYSTEMS DESIGN SERVICES,6-12 million,3,https://www.usaspending.gov/award/CONT_AWD_W91RUS18F0027_9700_HHSN316201200013W_7529
W91RUS18C0024,DEFENSIVE CYBERSPACE OPERATIONS AND INTELLIGENCE SUPPORT TO GLOBAL CYBERSPACE OPERATIONS.,DEFINITIVE CONTRACT,541519,OTHER COMPUTER RELATED SERVICES,BOOZ ALLEN HAMILTON INC,Department of Defense,1173.0,2018-08-23,2019-11-15,25746407.05,29875241.71,CONT_AWD_W91RUS18C0024_9700_-NONE-_-NONE-,CONT_AWD_W91RUS18C0024_9700_-NONE-_-NONE-,73882611,1,2023-07-12,29875241.71,,,,,Department of Defense,449.0,1,Contract Expired,Expired,Contract/s Expired,,541519: OTHER COMPUTER RELATED SERVICES,12+ million,4,https://www.usaspending.gov/award/CONT_AWD_W91RUS18C0024_9700_-NONE-_-NONE-
W91RUS18C0003,IGF::OT::IGF  ADMINISTRATIVE INFORMATION TECHNOLOGY ENGINEERING AND LOGISTICS STAFF SUPPORT SERVICES.,DEFINITIVE CONTRACT,561110,OFFICE ADMINISTRATIVE SERVICES,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",Department of Defense,1173.0,2017-12-01,2018-01-31,1551651.36,2049624.37,CONT_AWD_W91RUS18C0003_9700_-NONE-_-NONE-,CONT_AWD_W91RUS18C0003_9700_-NONE-_-NONE-,62502246,1,2022-06-01,2049624.37,,,,,Department of Defense,61.0,0,Contract Expired,Expired,Contract/s Expired,,561110: OFFICE ADMINISTRATIVE SERVICES,1-6 million,2,https://www.usaspending.gov/award/CONT_AWD_W91RUS18C0003_9700_-NONE-_-NONE-
W91RUS12C0011,"IGF::OT::IGF STAFF SUPPORT SERVICES FOR THE 160TH SIGNAL BRIGADE LOCATED IN KUWAIT, AFGHANISTAN AND QATAR.  SERVICES INCLUDE ADMINISTRATIVE, OPERATIONAL AND LOGISTICS SUPPORT SERVICES TO THE 160TH SIGNAL BRIGADE AND SUBORDINATE BATTALIONS.",DEFINITIVE CONTRACT,561110,OFFICE ADMINISTRATIVE SERVICES,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",Department of Defense,1173.0,2012-03-01,2017-11-30,63254245.19,63254245.19,CONT_AWD_W91RUS12C0011_9700_-NONE-_-NONE-,CONT_AWD_W91RUS12C0011_9700_-NONE-_-NONE-,38592814,2,2021-03-10,63254245.19,,,,,Department of Defense,2100.0,6,Contract Expired,Expired,Contract/s Expired,,561110: OFFICE ADMINISTRATIVE SERVICES,12+ million,4,https://www.usaspending.gov/award/CONT_AWD_W91RUS12C0011_9700_-NONE-_-NONE-
W91QVN23F0093,COTP SERVICES,DELIVERY ORDER,541330,ENGINEERING SERVICES,BOOZ ALLEN HAMILTON INC,Department of Defense,1173.0,2023-01-01,2023-12-31,901589.93,5149914.74,CONT_AWD_W91QVN23F0093_9700_GS00Q14OADU108_4732,CONT_AWD_W91QVN23F0093_9700_GS00Q14OADU108_4732,157799956,1,2023-06-26,5149914.74,,,,,Department of Defense,364.0,1,78,Active,0-3 months,1.0,541330: ENGINEERING SERVICES,0-1 million,1,https://www.usaspending.gov/award/CONT_AWD_W91QVN23F0093_9700_GS00Q14OADU108_4732
W91QVN21F0584,SIPRGUARD AND PACSTART HARDWARE,DELIVERY ORDER,334111,ELECTRONIC COMPUTER MANUFACTURING,INTERNATIONAL BUSINESS MACHINES CORPORATION,Department of Defense,1173.0,2021-09-02,2021-10-10,1284281.85,1284281.85,CONT_AWD_W91QVN21F0584_9700_W52P1J16D0008_9700,CONT_AWD_W91QVN21F0584_9700_W52P1J16D0008_9700,144104568,5,2021-09-12,1284281.85,,,,,Department of Defense,38.0,0,Contract Expired,Expired,Contract/s Expired,,334111: ELECTRONIC COMPUTER MANUFACTURING,1-6 million,2,https://www.usaspending.gov/award/CONT_AWD_W91QVN21F0584_9700_W52P1J16D0008_9700
W91QVN20F0645,PART NO#: PS447-NA250-01,DELIVERY ORDER,334111,ELECTRONIC COMPUTER MANUFACTURING,INTERNATIONAL BUSINESS MACHINES CORPORATION,Department of Defense,1173.0,2020-09-25,2020-11-05,165957.07,165957.07,CONT_AWD_W91QVN20F0645_9700_W52P1J16D0008_9700,CONT_AWD_W91QVN20F0645_9700_W52P1J16D0008_9700,116587128,4,2020-10-06,165957.07,,,,,Department of Defense,41.0,0,Contract Expired,Expired,Contract/s Expired,,334111: ELECTRONIC COMPUTER MANUFACTURING,0-1 million,1,https://www.usaspending.gov/award/CONT_AWD_W91QVN20F0645_9700_W52P1J16D0008_9700
W91QVN20F0099,AF/FP ANALYSIS,DELIVERY ORDER,541330,ENGINEERING SERVICES,BOOZ ALLEN HAMILTON INC,Department of Defense,1173.0,2019-11-29,2022-11-28,692770.74,701485.17,CONT_AWD_W91QVN20F0099_9700_GS00Q14OADU108_4732,CONT_AWD_W91QVN20F0099_9700_GS00Q14OADU108_4732,95318176,1,2023-06-26,701485.17,,,,,Department of Defense,1095.0,3,Contract Expired,Expired,Contract/s Expired,,541330: ENGINEERING SERVICES,0-1 million,1,https://www.usaspending.gov/award/CONT_AWD_W91QVN20F0099_9700_GS00Q14OADU108_4732
W91QVN19F0592,EXERCISE PLANNER&SYSTEM ADMINISTRATOR SUPPORT SERVICES FOR USFK CJ37,DELIVERY ORDER,541512,COMPUTER SYSTEMS DESIGN SERVICES,BOOZ ALLEN HAMILTON INC,Department of Defense,1173.0,2019-09-01,2024-03-31,5387959.95,5858566.16,CONT_AWD_W91QVN19F0592_9700_47QTCK18D0004_4732,CONT_AWD_W91QVN19F0592_9700_47QTCK18D0004_4732,90325983,4,2023-03-13,5858566.16,,,,,Department of Defense,1673.0,5,169,Active,3-6 months,2.0,541512: COMPUTER SYSTEMS DESIGN SERVICES,1-6 million,2,https://www.usaspending.gov/award/CONT_AWD_W91QVN19F0592_9700_47QTCK18D0004_4732
W91QVN19F0222,IGF::CT::IGF -- 8A/19ESC/USFK TRANSFORMATION SERVICES,DELIVERY ORDER,541330,ENGINEERING SERVICES,BOOZ ALLEN HAMILTON INC,Department of Defense,1173.0,2019-03-29,2022-09-30,7138527.34,7138527.34,CONT_AWD_W91QVN19F0222_9700_GS00Q14OADU108_4732,CONT_AWD_W91QVN19F0222_9700_GS00Q14OADU108_4732,84233827,1,2023-06-26,7138527.34,,,,,Department of Defense,1281.0,4,Contract Expired,Expired,Contract/s Expired,,541330: ENGINEERING SERVICES,6-12 million,3,https://www.usaspending.gov/award/CONT_AWD_W91QVN19F0222_9700_GS00Q14OADU108_4732
W91QVN19F0194,IGT::OT::IGR USFK CWMD PLANNING SUPPORT,DELIVERY ORDER,541330,ENGINEERING SERVICES,BOOZ ALLEN HAMILTON INC,Department of Defense,1173.0,2019-01-28,2022-02-14,2060561.51,2060561.51,CONT_AWD_W91QVN19F0194_9700_GS00Q14OADU108_4732,CONT_AWD_W91QVN19F0194_9700_GS00Q14OADU108_4732,83935338,1,2023-07-06,2060561.51,,,,,Department of Defense,1113.0,3,Contract Expired,Expired,Contract/s Expired,,541330: ENGINEERING SERVICES,1-6 million,2,https://www.usaspending.gov/award/CONT_AWD_W91QVN19F0194_9700_GS00Q14OADU108_4732
W91QVN17F0002,IGF::CT::IGF -- 403D AFSB TRANSFORMATION SERVICES,DELIVERY ORDER,541330,ENGINEERING SERVICES,BOOZ ALLEN HAMILTON INC,Department of Defense,1173.0,2016-12-28,2019-12-31,1075713.78,1075713.78,CONT_AWD_W91QVN17F0002_9700_GS00Q14OADU108_4732,CONT_AWD_W91QVN17F0002_9700_GS00Q14OADU108_4732,38586006,1,2023-06-26,1075713.78,,,,,Department of Defense,1098.0,3,Contract Expired,Expired,Contract/s Expired,,541330: ENGINEERING SERVICES,1-6 million,2,https://www.usaspending.gov/award/CONT_AWD_W91QVN17F0002_9700_GS00Q14OADU108_4732
W91QVN16F0070,IGF::CT::IGF  PROGRAM MANAGEMENT(PM)&POST CONSTRUCTION REQUIREMENTS(PCR)FOR USFK T&R,DELIVERY ORDER,541330,ENGINEERING SERVICES,DELOITTE CONSULTING LLP,Department of Defense,1173.0,2016-09-28,2019-08-14,6858683.65,6858683.65,CONT_AWD_W91QVN16F0070_9700_GS00Q14OADU113_4732,CONT_AWD_W91QVN16F0070_9700_GS00Q14OADU113_4732,38585698,1,2021-06-11,6858683.65,,,,,Department of Defense,1050.0,3,Contract Expired,Expired,Contract/s Expired,,541330: ENGINEERING SERVICES,6-12 million,3,https://www.usaspending.gov/award/CONT_AWD_W91QVN16F0070_9700_GS00Q14OADU113_4732
W91QVN16F0001,"IGF::CT::IGF, USFK&8A TRANSFORMATION",DELIVERY ORDER,541330,ENGINEERING SERVICES,BOOZ ALLEN HAMILTON INC,Department of Defense,1173.0,2015-12-16,2019-05-31,7510532.85,7510532.85,CONT_AWD_W91QVN16F0001_9700_GS00Q14OADU108_4732,CONT_AWD_W91QVN16F0001_9700_GS00Q14OADU108_4732,38585644,1,2023-06-26,7510532.85,,,,,Department of Defense,1262.0,3,Contract Expired,Expired,Contract/s Expired,,541330: ENGINEERING SERVICES,6-12 million,3,https://www.usaspending.gov/award/CONT_AWD_W91QVN16F0001_9700_GS00Q14OADU108_4732
W91QVN14F0169,"EXERCISE PLANNER&SYSTEM ADMINISTRATOR, USFK CJ37",DELIVERY ORDER,541512,COMPUTER SYSTEMS DESIGN SERVICES,"CACI, INC. - FEDERAL",Department of Defense,1173.0,2014-03-18,2019-09-30,5243632.1,5276388.25,CONT_AWD_W91QVN14F0169_9700_GS00Q09BGD0020_4735,CONT_AWD_W91QVN14F0169_9700_GS00Q09BGD0020_4735,38584357,3,2021-12-19,5276388.25,,,,,Department of Defense,2022.0,6,Contract Expired,Expired,Contract/s Expired,,541512: COMPUTER SYSTEMS DESIGN SERVICES,1-6 million,2,https://www.usaspending.gov/award/CONT_AWD_W91QVN14F0169_9700_GS00Q09BGD0020_4735
W91QF420F0115,"TRAINING MANAGEMENT DIRECTORATE, ARMY TRAINING MANAGEMENT PROPONENT(ATMP)SUPPORT SERVICES",DELIVERY ORDER,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,BOOZ ALLEN HAMILTON INC,Department of Defense,1173.0,2020-08-21,2023-09-20,6357363.81,6499091.21,CONT_AWD_W91QF420F0115_9700_W91QF417D0001_9700,CONT_AWD_W91QF420F0115_9700_W91QF417D0001_9700,109413805,4,2023-06-21,6499091.21,,,,,Department of Defense,1125.0,3,Contract Expired,Expired,Contract/s Expired,,541690: OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,6-12 million,3,https://www.usaspending.gov/award/CONT_AWD_W91QF420F0115_9700_W91QF417D0001_9700
W91QF420F0051,CAPL AEAS SUPPORT,DELIVERY ORDER,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,BOOZ ALLEN HAMILTON INC,Department of Defense,1173.0,2020-01-24,2023-05-25,6936761.73,7642705.05,CONT_AWD_W91QF420F0051_9700_W91QF417D0001_9700,CONT_AWD_W91QF420F0051_9700_W91QF417D0001_9700,96876702,2,2023-01-27,7642705.05,,,,,Department of Defense,1217.0,3,Contract Expired,Expired,Contract/s Expired,,541690: OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,6-12 million,3,https://www.usaspending.gov/award/CONT_AWD_W91QF420F0051_9700_W91QF417D0001_9700
